spec	long	lat	
epidendroides	-43.38	-18.82	
epidendroides	-43.615556	-19.063056	
epidendroides	-43.4	-18.9	
epidendroides	-43.6556	-18.4458	
epidendroides	-43.62	-18.53	
epidendroides	-43.55	-18.18	
epidendroides	-43.7	-18.27	
epidendroides	-43.575	-18.195278	
epidendroides	-43.52971	-18.179837	
epidendroides	-43.762778	-18.291667	
epidendroides	-43.622231	-17.797706	
epidendroides	-43.5367	-18.1838	
epidendroides	-43.566908	-19.391522	
epidendroides	-43.567098	-19.391463	
epidendroides	-43.839564	-19.819325	
epidendroides	-43.2806	-19.421583	
epidendroides	-43.539757	-19.388386	
epidendroides	-43.516667	-19.25	
epidendroides	-43.5925	-18.5719	
epidendroides	-43.788116	-19.048156	
epidendroides	-43.763056	-19	
epidendroides	-43.761944	-19.008056	
epidendroides	-43.758371	-18.962842	
epidendroides	-43.74941	-18.942663	
epidendroides	-43.758333	-19.005556	
epidendroides	-43.7	-19.166667	
epidendroides	-43.704722	-19.025	
epidendroides	-43.717222	-19.033056	
epidendroides	-43.709444	-19.049444	
epidendroides	-43.554722	-19.253333	
epidendroides	-43.738892	-19.048022	
epidendroides	-43.737325	-19.048652	
epidendroides	-43.58	-19.17	
epidendroides	-43.369444	-18.011944	
epidendroides	-43.55	-18.55	
froesii	-41.87	-13.3	
froesii	-41.833333	-13.316666	
froesii	-41.85	-13.38	
froesii	-41.883333 	-13.300000	
froesii	-41.883333	-13.3	
froesii	-41.87	-13.28	
froesii	-41.866666	-13.3	
froesii	-41.85	-13.3	
froesii	-41.866667	-13.3	
froesii	-41.85	-13.33	
froesii	-41.85	-13.32	
froesii	-41.783333	-13.366666	
froesii	-41.83	-13.23	
froesii	-41.866667	-13.283333	
froesii	-41.833333	-13.233333	
froesii	-41.85	-13.316667	
froesii	-41.783333	-13.366667	
froesii	-41.316667	-12.833333	
froesii	-41.316667	-12.8	
froesii	-41.309722	-12.851111	
froesii	-41.26667	-12.95	
froesii	-41.3166666667	-12.8166666667	
froesii	-41.833333	-13.216667	
froesii	-41.31666	-12.83333	
froesii	-41.278333 	 -12.949722	
froesii	-46.041667	-11.621667	
froesii	-41.316667 	 -12.083333	
froesii	-42.466667	-14.066667	
froesii	-41.766667	-13.283333	
froesii	-41.1401	-13.2417	
froesii	-41.233611 	 -13.404722	
froesii	-40.475556 	 -12.314444	
froesii	-41.033333 	 -12.933333	
froesii	-41.033333 	 -12.966667	
froesii	-40.507222	-11.195833	
froesii	-41.165556	-11.579167	
froesii	-41.207778	-11.825278	
froesii	-41.1228	-11.4931	
froesii	-41.207778 	 -11.825278	
froesii	-41.000605	-11.372703	
froesii	-41.001667 	 -11.624167	
froesii	-41.371667	-11.499444	
froesii	-41.11667	-11.45	
froesii	-41.07	-11.27	
froesii	-41.116667 	 -11.450000	
froesii	-41.133333	-11.55	
froesii	-41.2	-12.56	
froesii	-41.333333	-12.933333	
froesii	-41.2	-12.58	
froesii	-41.341389	-12.991667	
froesii	-41.224	-13.0436	
froesii	-41.367778 	 -13.076667	
froesii	-41.377778	-13.076667	
froesii	-41.192	-12.5658	
froesii	-41.317222 	 -12.949444	
froesii	-41.339444	-12.988333	
froesii	-41.1642	-12.5659	
froesii	-41.4681	-12.4547	
froesii	-41.9	-13.27	
froesii	-41.75	-13.15	
froesii	-41.9	-13.07	
froesii	-41.9	-13.266667	
froesii	-41.883333	-13.15	
froesii	-41.8286111	-13.5977777	
froesii	-41.78	-13.37	
froesii	-41.766667	-13.383333	
froesii	-41.85	-13.383333	
froesii	-41.19	-12.5	
froesii	-40.2832	-12.1852	
furcata	-41.96666	-13.53333	
furcata	-41.95	-13.53333	
furcata	-42	-13.51666	
furcata	-41.9	-13.53333	
furcata	-41.98333	-13.5	
furcata	-41.9	-13.25	
furcata	-41.95	-13.18333	
furcata	-41.97	-13.53	
furcata	-41.916667	-13.533333	
furcata	-41.91667	-13.25	
furcata	-41.88	-13.33	
furcata	-41.9	-13.3	
furcata	-41.9	-13.28	
furcata	-41.77	-13.38	
furcata	-41.87	-13.3	
furcata	-41.78	-13.27	
furcata	-41.87	-13.28	
furcata	-41.92	-13.25	
furcata	-41.83	-13.37	
furcata	-41.95	-13.18	
furcata	-41.88	-13.27	
furcata	-41.866667	-13.283333	
furcata	-41.783333	-13.278056	
furcata	-41.75	-13.216667	
furcata	-41.866667	-13.283333	
furcata	-41.95	-13.183333	
furcata	-41.783333	-13.266667	
furcata	-41.833333	-13.033333	
furcata	-41.916667	-13.25	
furcata	-41.083333 	 -13.033333	
furcata	-41.866667 	 -13.283333	
furcata	-41.883333 	 -13.300000	
furcata	-42	-13.52	
furcata	-41.98	-13.5	
furcata	-42	-13.516667	
furcata	-41.983333	-13.5	
furcata	-42.700000 	 -13.516667	
furcata	-42.000000 	 -13.516667	
furcata	-41.983333 	 -13.050000	
furcata	-39.205556	-14.178056	
furcata	-41.72	-13.27	
furcata	-41.716667	-13.266667	
furcata	-41.950278 	 -13.516389	
furcata	-41.828611 	 -13.597778	
furcata	-41.933333 	 -13.533333	
furcata	-41.950000 	 -13.533333	
furcata	-41.900000 	 -13.533333	
furcata	-41.850000 	 -13.466667	
furcata	-41.966667 	 -13.533333	
furcata	-41.9	-13.533333	
furcata	-41.95	-13.533333	
furcata	-41.933333	-13.533333	
furcata	-41.8536111	-13.4083333	
furcata	-41.9	-13.53	
furcata	-41.93	-13.53	
furcata	-41.8114	-13.5792	
furcata	-41.92	-13.53	
furcata	-41.8313497	-13.600425	
furcata	-41.95	-13.53	
furcata	-41.9347	-13	
furcata	-41.83	-13.5564	
furcata	-41.78	-13.4	
furcata	-41.934722	-13	
furcata	-41.828611	-13.597778	
furcata	-41.966667	-13.533333	
furcata	-41.815833	-13.606667	
furcata	-41.937222	-13.520833	
furcata	-40.475556	-12.314444	
furcata	-40.484167	-12.309722	
geotegens	-43.550000	-18.033333	
geotegens	-43.6556	-18.4458	
geotegens	-43.658889	-18.438056	
geotegens	-43.653889	-18.462500	
geotegens	-43.654111 	-18.462500	
geotegens	-43.657192	-18.441939	
geotegens	-43.658889 	-18.438056	
geotegens	-43.652842	-18.463461	
geotegens	-43.661475	-18.509747	
geotegens	-43.552778	-18.355	
geotegens	-43.550000	-18.333333	
geotegens	-43.513889	-18.403611	
geotegens	-43.648558	-18.246681	
geotegens	-43.488842	-18.576950	
geotegens	-43.551389	-19.271389	
geotegens	-43.551389 	-19.271389	
geotegens	-43.501389	-18.403611	
gigantea	-41.575417	-19.311250	
gigantea	-43.477778 	-19.491667	
gigantea	-43.473056	-19.476389	
gigantea	-43.503889	-19.494722	
gigantea	-43.396667	-19.441111	
gigantea	-43.481639	-19.358833	
gigantea	-43.489444 	-19.380278	
gigantea	-43.450000	-19.433333	
gigantea	-43.522078	-19.259342	
