spec;long;lat
sp;-43.903944;-22.02575
sp;-42.779444;-15.388611
sp;-43.5;-20.133333
sp;-43.631389;-20.147778
sp;-43.630833;-20.148333
sp;-43.631111;-20.148889
sp;-43.631111;-20.149444
sp;-39.475833;-12.853611
sp;-39.809167;-13.5
sp;-39.473611;-12.858056
sp;-39.475833;-12.853611
sp;-39.475833;-12.853611
sp;-39.475833;-12.853611
sp;-39.475833;-12.853611
sp;-39.473611;-12.858056
sp;-39.569722;-12.7275
sp;-39.466667;-12.85
sp;-39.466667;-12.85
sp;-39.475833;-12.853611
sp;-43.759067;-19.006298
sp;-43.749374;-18.916045
sp;-43.7498;-19.9422
sp;-43.755556;-19.006111
sp;-43.757778;-18.950556
sp;-43.770583;-18.962833
sp;-43.755556;-19.006111
sp;-43.7387;-19.048
sp;-43.7498;-18.9422
sp;-43.755556;-19.006111
sp;-43.7498;-18.9422
sp;-43.7498;-18.9422
sp;-43.550278;-19.256944
sp;-43.551667;-19.263889
sp;-43.551944;-19.263889
sp;-43.551111;-19.2575
sp;-43.551111;-19.256944
sp;-43.551111;-19.258333
sp;-43.499444;-19.220278
sp;-43.49884;-19.2236
sp;-43.544722;-19.249444
sp;-43.54437;-19.24995
sp;-43.49884;-19.2236
sp;-43.55224;-19.2889
sp;-43.499444;-19.220278
sp;-44.6;-20.533333
sp;-45.6;-21.533333
sp;-43.6;-19.533333
sp;-43.595;-19.287222
sp;-43.551111;-19.256944
sp;-43.551111;-19.256944
sp;-43.551111;-19.256944
sp;-43.551111;-19.256944
sp;-43.551111;-19.256944
sp;-43.988889;-19.660139
sp;-43.590278;-19.297222
sp;-43.506694;-19.232389
sp;-43.728551;-19.051945
sp;-43.597867;-19.265933
sp;-43.568056;-19.290861
sp;-43.551111;-19.873611
sp;-43.551111;-19.256944
sp;-43.706944;-19.066667
sp;-43.710278;-19.058889
sp;-48.255;-15.9397
sp;-42.7525;-15.333611
sp;-45.18;-12.419722
sp;-46.062778;-13.290556
sp;-46.062778;-13.290556
sp;-43.448333;-19.882222
sp;-43.379167;-18.130556
sp;-43.379167;-18.130556
sp;-43.379167;-18.130556
sp;-43.379167;-18.130556
sp;-44.502589;-21.223861
sp;-44.299417;-21.128028
sp;-44.511361;-21.264722
sp;-41.326751;-18.368692
sp;-42.878333;-22.159167
sp;-42.868611;-22.155278
sp;-40.771944;-19.801111
sp;-43.293386;-19.322889
sp;-40.433333;-10.9
sp;-40.448611;-10.900556
sp;-41.501478;-9.897133
sp;-41.383083;-10.333
sp;-44.393611;-17.399722
sp;-43.475278;-18.432778
sp;-43.460556;-18.476944
sp;-41.104167;-14.22
sp;-46.338056;-12.3475
sp;-46.338056;-12.347222
sp;-46.338056;-12.3475
sp;-47.316667;-15.483333
sp;-41.262222;-17.856389
sp;-48.9575;-14.5675
sp;-60.073694;-14.915917
sp;-47.5;-16.66666
sp;-41.85;-13.3
sp;-48.43333;-14.45
sp;-48.43333;-14.45
sp;-38.3130556;-12.4930555
sp;-43.6013870239;-18.155834198
sp;-43.6013870239;-18.155834198
sp;-47.63015;-14.16562
sp;-41.739167;-13.248889
sp;-41.739167;-13.248889
sp;-41.848694;-20.409
sp;-44.009028;-14.282228
sp;-42.995667;-16.905028
sp;-44.250833;-17.915833
sp;-43.5025;-19.224444
sp;-44.660806;-21.457667
sp;-41.311111;-13.365278
sp;-41.311111;-13.365278
sp;-50.1708334;-8.0722223
sp;-43.680556;-18.3425
sp;-43.628056;-18.191944
sp;-42.903361;-16.575
sp;-43.563333;-16.963611
sp;-45.7775;-18.316667
sp;-44.193056;-17.693889
sp;-44.193056;-17.693889
sp;-44.194444;-17.7025
sp;-44.194444;-17.7025
sp;-41.366667;-13
sp;-41.349167;-12.988889
sp;-41.380833;-13.001667
sp;-43.720889;-20.483389
sp;-43.511611;-20.486472
sp;-41.202239;-19.459414
sp;-48.6447222;-8.4944444
sp;-41.802778;-13.576889
sp;-41.794139;-13.571333
sp;-41.802778;-13.576889
sp;-43.666667;-19.116667
sp;-43.698056;-20.077778
sp;-42.868611;-22.155278
sp;-42.868611;-22.154722
sp;-46.423889;-20.260278
sp;-43.450611;-18.461806
sp;-40.576944;-18.698333
abietina;-43.72035;-18.36499
abietina;-43.55;-18.55
abietina;-43.7;-18.27
abietina;-43.6556;-18.4458
abietina;-43.6556;-18.4458
abietina;-43.592777;-18.572222
abietina;-43.684444;-18.508333
abietina;-43.684444;-18.508333
abietina;-43.684444;-18.508333
abietina;-43.684444;-18.508333
abietina;-43.642500; -18.564444
abietina;-43.639639;-18.560639
abietina;-43.6003;-18.2494
abietina;-43.6003;-18.2494
abietina;-43.850556;-52.370556
abietina;-43.599167  ;-18.157500
abietina;-43.666667  ;-18.250000
